instance	sequential_cells	internal_WNS_ns
milan_datapath/pp_shadow	35000	-10.846
milan_datapath/pp_shadow/u_pp	33610	-10.846
milan_datapath/pp_shadow/u_pp/u_aecp	4598	-10.588
milan_datapath/pp_shadow/u_pp/u_srp	11499	0.010
milan_datapath/pp_shadow/u_pp/u_notify	3991	1.319
milan_datapath/pp_shadow/u_pp/u_listener	1129	-1.297
milan_datapath/pp_shadow/u_pp/u_talker	524	-2.315
milan_datapath/pp_shadow/u_nvm	1028	3.907
