id	family	renderer	base_raw_h2	base_raw_direction	base_raw_refused	base_reader_h2	base_reader_direction	base_reader_refused	head_raw_h2	head_raw_direction	head_raw_refused	head_reader_h2	head_reader_direction	head_reader_refused
F-tilde-U205F	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
F-tilde-U3000	fence	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
T-later-empty	type1-character	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
T-later-U0020	type1-character	0	1	ESCAPE	False	1	ESCAPE	False	0	AGREE	False	0	AGREE	False
T-later-U0009	type1-character	0	1	ESCAPE	False	1	ESCAPE	False	0	AGREE	False	0	AGREE	False
T-later-U000B	type1-character	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
T-later-U000C	type1-character	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
T-later-U000D	type1-character	0	1	ESCAPE	True	0	AGREE	False	0	AGREE	True	0	AGREE	False
T-later-U001C	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U001D	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U001E	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U001F	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U0085	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U00A0	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U1680	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2000	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2001	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2002	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2003	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2004	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2005	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2006	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2007	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2008	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2009	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U200A	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2028	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U2029	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U202F	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U205F	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-later-U3000	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
N-later-pre-pre	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-later-pre-PRE	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-later-pre-script	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-pre-SCRIPT	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-pre-style	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-pre-STYLE	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
