instance	sequential_cells	internal_WNS_ns
milan_datapath/pp_shadow	25607	0.123
milan_datapath/pp_shadow/u_pp	24783	0.123
milan_datapath/pp_shadow/u_pp/u_aecp	3456	2.025
milan_datapath/pp_shadow/u_pp/u_srp	6564	5.385
milan_datapath/pp_shadow/u_pp/u_notify	3491	5.041
milan_datapath/pp_shadow/u_pp/u_listener	1111	6.301
milan_datapath/pp_shadow/u_pp/u_talker	592	5.267
milan_datapath/pp_shadow/u_nvm	470	9.305
