instance	sequential_cells	internal_WNS_ns
KL_pp_shadow	34986	-10.987
u_pp	33599	-10.987
u_pp/u_aecp	4596	-2.507
u_pp/u_srp	11499	0.138
u_pp/u_notify	3991	1.447
u_pp/u_listener	1136	-0.514
u_pp/u_talker	524	-1.514
u_nvm	1025	4.219
