[ok] clean leg, feed delay 33: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 34: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 35: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 36: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 37: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 38: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 39: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 40: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
[ok] clean leg, feed delay 41: == gmstep: checks: 48   failures: 0 ==; failed []; RENDER: fill after each push 14..14 events (target 14 = setpoint 8 + 6); fill at accept 9..9 (the accept phase, not graded)
sweep: 42 delays   failing: 0
RESULT: PASS
exit 0
