instance	sequential_cells	internal_WNS_ns
milan_datapath/pp_shadow	26906	-1.201
milan_datapath/pp_shadow/u_pp	26074	-1.201
milan_datapath/pp_shadow/u_pp/u_aecp	3453	6.658
milan_datapath/pp_shadow/u_pp/u_srp	6745	10.005
milan_datapath/pp_shadow/u_pp/u_notify	3491	11.188
milan_datapath/pp_shadow/u_pp/u_listener	1108	8.262
milan_datapath/pp_shadow/u_pp/u_talker	626	8.390
milan_datapath/pp_shadow/u_nvm	470	14.300
