yosys-portability	completed	success
verilator-suites	completed	success
rtl-fast	completed	success
Physical gPTP (nightly and manual)	completed	skipped
Verilator shard 2/5	completed	success
Verilator shard 1/5	completed	success
Yosys shard 0/4	completed	success
Verilator shard 3/5	completed	success
Yosys shard 1/4	completed	success
Verilator shard 4/5	completed	success
Verilator shard 0/5	completed	success
Yosys shard 3/4	completed	success
Yosys shard 2/4	completed	success
verilator-lint	completed	success
yosys-elaboration	completed	success
docs-check	completed	success
wire-accountability	completed	success
elaborate	completed	success
docs-check-no-git	completed	success
full-ci-gate	completed	success
changes	completed	success
bdd-conformance	completed	success
