bdd-conformance	completed	success	2026-09-24T08:18:34Z
changes	completed	success	2026-09-24T08:18:36Z
docs-check	completed	success	2026-09-24T08:28:31Z
docs-check-no-git	completed	success	2026-09-24T08:18:32Z
elaborate	completed	success	2026-09-24T08:28:44Z
full-ci-gate	completed	success	2026-09-24T08:18:48Z
Physical gPTP (nightly and manual)	completed	skipped	2026-09-24T08:18:49Z
rtl-fast	completed	success	2026-09-24T08:28:35Z
verilator-lint	completed	success	2026-09-24T08:19:06Z
Verilator shard 0/5	completed	success	2026-09-24T08:31:50Z
Verilator shard 1/5	completed	success	2026-09-24T08:43:36Z
Verilator shard 2/5	completed	success	2026-09-24T08:33:34Z
Verilator shard 3/5	completed	success	2026-09-24T08:28:48Z
Verilator shard 4/5	completed	success	2026-09-24T08:51:21Z
verilator-suites	completed	success	2026-09-24T08:51:33Z
wire-accountability	completed	success	2026-09-24T08:18:33Z
yosys-elaboration	completed	success	2026-09-24T08:28:27Z
yosys-portability	completed	success	2026-09-24T08:51:40Z
Yosys shard 0/4	completed	success	2026-09-24T08:25:42Z
Yosys shard 1/4	completed	success	2026-09-24T08:22:25Z
Yosys shard 2/4	completed	success	2026-09-24T08:21:16Z
Yosys shard 3/4	completed	success	2026-09-24T08:20:52Z
