bdd-conformance	completed	success	4876423d	2026-09-23T11:33:28Z	2026-09-23T11:33:38Z
changes	completed	success	4876423d	2026-09-23T11:33:28Z	2026-09-23T11:33:41Z
docs-check	completed	success	4876423d	2026-09-23T11:33:28Z	2026-09-23T11:44:06Z
docs-check-no-git	completed	success	4876423d	2026-09-23T11:33:28Z	2026-09-23T11:33:38Z
elaborate	completed	success	4876423d	2026-09-23T11:33:29Z	2026-09-23T11:44:24Z
full-ci-gate	completed	success	4876423d	2026-09-23T11:33:29Z	2026-09-23T11:33:46Z
Physical gPTP (nightly and manual)	completed	skipped	4876423d	2026-09-23T11:33:47Z	2026-09-23T11:33:46Z
rtl-fast	completed	success	4876423d	2026-09-23T11:44:40Z	2026-09-23T11:44:43Z
verilator-lint	completed	success	4876423d	2026-09-23T11:33:44Z	2026-09-23T11:34:18Z
Verilator shard 0/5	completed	success	4876423d	2026-09-23T11:33:48Z	2026-09-23T11:46:03Z
Verilator shard 1/5	completed	success	4876423d	2026-09-23T11:33:49Z	2026-09-23T11:57:21Z
Verilator shard 2/5	completed	success	4876423d	2026-09-23T11:33:48Z	2026-09-23T11:37:47Z
Verilator shard 3/5	completed	success	4876423d	2026-09-23T11:33:48Z	2026-09-23T11:39:50Z
Verilator shard 4/5	completed	success	4876423d	2026-09-23T11:33:49Z	2026-09-23T12:03:26Z
verilator-suites	completed	success	4876423d	2026-09-23T12:03:29Z	2026-09-23T12:03:35Z
wire-accountability	completed	success	4876423d	2026-09-23T11:33:29Z	2026-09-23T11:33:38Z
yosys-elaboration	completed	success	4876423d	2026-09-23T11:33:44Z	2026-09-23T11:43:29Z
yosys-portability	completed	success	4876423d	2026-09-23T12:03:37Z	2026-09-23T12:03:44Z
Yosys shard 0/4	completed	success	4876423d	2026-09-23T11:33:48Z	2026-09-23T11:39:17Z
Yosys shard 1/4	completed	success	4876423d	2026-09-23T11:33:48Z	2026-09-23T11:37:21Z
Yosys shard 2/4	completed	success	4876423d	2026-09-23T11:33:49Z	2026-09-23T11:36:14Z
Yosys shard 3/4	completed	success	4876423d	2026-09-23T11:33:49Z	2026-09-23T11:35:43Z
