scope	LUT	LUT_all_loads_outside_wrapper	LUT_any_load_outside_wrapper	LUT_any_input_from_outside_wrapper	LUT_outside_input_and_only_outside_loads
milan_datapath/pp_shadow/u_pp/u_aecp/u_dyn	607	0	0	0	0
milan_datapath/pp_shadow/u_pp/u_aecp	5607	18	29	433	0
milan_datapath/pp_shadow/u_pp/u_srp	9480	442	512	699	432
milan_datapath/pp_shadow/u_pp/u_notify	3027	0	0	42	0
milan_datapath/pp_shadow	32833	519	601	2829	467
