pristine	rc=0
rank-non_additive_storage_check_dropped	selftest FAIL (mutant killed)
rank-own_row_not_renamed	selftest FAIL (mutant killed)
rank-duplicate_row_refusal_dropped	selftest PASS (mutant survives)
rank-ff_rank_uses_lut_order	selftest PASS (mutant survives)
rank-missing_parent_refusal_dropped	selftest PASS (mutant survives)
mapping-blackbox_exclusion_dropped	selftest FAIL (mutant killed)
mapping-multiplicity_dropped	selftest PASS (mutant survives)
mapping-residual_row_dropped	selftest PASS (mutant survives)
mapping-lut_filter_includes_all	selftest FAIL (mutant killed)
