instance	sequential_cells	internal_WNS_ns
milan_datapath/pp_shadow	25608	0.013
milan_datapath/pp_shadow/u_pp	24784	0.013
milan_datapath/pp_shadow/u_pp/u_aecp	3456	2.311
milan_datapath/pp_shadow/u_pp/u_srp	6564	4.445
milan_datapath/pp_shadow/u_pp/u_notify	3491	4.352
milan_datapath/pp_shadow/u_pp/u_listener	1112	3.968
milan_datapath/pp_shadow/u_pp/u_talker	592	4.537
milan_datapath/pp_shadow/u_nvm	470	11.578
