bdd-conformance	completed	success	5beebb7c7edd	2026-09-25T04:52:10Z
changes	completed	success	5beebb7c7edd	2026-09-25T04:52:14Z
docs-check	completed	success	5beebb7c7edd	2026-09-25T05:07:23Z
docs-check-no-git	completed	success	5beebb7c7edd	2026-09-25T04:52:10Z
elaborate	completed	success	5beebb7c7edd	2026-09-25T05:03:03Z
full-ci-gate	completed	success	5beebb7c7edd	2026-09-25T04:52:21Z
Physical gPTP (nightly and manual)	completed	skipped	5beebb7c7edd	2026-09-25T04:52:21Z
rtl-fast	completed	success	5beebb7c7edd	2026-09-25T05:01:03Z
verilator-lint	completed	success	5beebb7c7edd	2026-09-25T04:52:49Z
Verilator shard 0/5	completed	success	5beebb7c7edd	2026-09-25T05:04:39Z
Verilator shard 1/5	in_progress	-	5beebb7c7edd	-
Verilator shard 2/5	completed	success	5beebb7c7edd	2026-09-25T05:07:47Z
Verilator shard 3/5	completed	success	5beebb7c7edd	2026-09-25T05:01:49Z
Verilator shard 4/5	in_progress	-	5beebb7c7edd	-
wire-accountability	completed	success	5beebb7c7edd	2026-09-25T04:52:12Z
yosys-elaboration	completed	success	5beebb7c7edd	2026-09-25T05:00:57Z
Yosys shard 0/4	completed	success	5beebb7c7edd	2026-09-25T04:52:54Z
Yosys shard 1/4	completed	success	5beebb7c7edd	2026-09-25T04:52:53Z
Yosys shard 2/4	completed	success	5beebb7c7edd	2026-09-25T04:52:55Z
Yosys shard 3/4	completed	success	5beebb7c7edd	2026-09-25T04:52:57Z
read at 2026-09-25T05:11:47Z
