t_s	port	src	kind	detail
247.571385760	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56707 li=-3 spid=3cc0c6fffefe02100001
247.601071589	2	3c:c0:c6:fe:02:11	MVRP	
247.681659394	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56708 li=-3 spid=3cc0c6fffefe02100001
247.682406020	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56708 li=-3 spid=3cc0c6fffefe02100001
247.811696787	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56709 li=-3 spid=3cc0c6fffefe02100001
247.812429181	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56709 li=-3 spid=3cc0c6fffefe02100001
247.881577127	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Req	seq=1650 li=0 spid=3cc0c6fffefe02100001
247.881588127	3	02:00:00:00:00:01	gPTP Pdelay_Resp	seq=1650 li=127 spid=020000fffe0000010001
247.881595687	3	02:00:00:00:00:01	gPTP Pdelay_Resp_Follow_Up	seq=1650 li=127 spid=020000fffe0000010001
247.894497797	2	68:05:ca:95:b2:ed	AECP	
247.894529997	3	02:00:00:00:00:01	AECP	
247.894686022	2	68:05:ca:95:b2:ed	AECP	
247.894713518	3	02:00:00:00:00:01	AECP	
247.931550908	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56710 li=-3 spid=3cc0c6fffefe02100001
247.932269694	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56710 li=-3 spid=3cc0c6fffefe02100001
247.940907362	2	3c:c0:c6:fe:02:11	ethertype 0x0027	
248.061635885	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56711 li=-3 spid=3cc0c6fffefe02100001
248.062370295	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56711 li=-3 spid=3cc0c6fffefe02100001
248.131803009	2	3c:c0:c6:fe:02:11	gPTP Announce	seq=64086 li=0 spid=3cc0c6fffefe02100001 gm=3cc0c6fffefe0210 p1=246 sr=0
248.181637174	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56712 li=-3 spid=3cc0c6fffefe02100001
248.182369984	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56712 li=-3 spid=3cc0c6fffefe02100001
248.311656551	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56713 li=-3 spid=3cc0c6fffefe02100001
248.312393169	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56713 li=-3 spid=3cc0c6fffefe02100001
248.351897869	3	02:00:00:00:00:01	MSRP	
248.431565456	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56714 li=-3 spid=3cc0c6fffefe02100001
248.432302074	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56714 li=-3 spid=3cc0c6fffefe02100001
248.551901138	3	02:00:00:00:00:01	gPTP Pdelay_Req	seq=1559 li=0 spid=020000fffe0000010001
248.552666372	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp	seq=1559 li=127 spid=3cc0c6fffefe02100001
248.553656390	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp_Follow_Up	seq=1559 li=127 spid=3cc0c6fffefe02100001
248.570813702	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56715 li=-3 spid=3cc0c6fffefe02100001
248.571390928	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56715 li=-3 spid=3cc0c6fffefe02100001
248.600914541	2	3c:c0:c6:fe:02:11	MVRP	
248.681648938	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56716 li=-3 spid=3cc0c6fffefe02100001
248.682396756	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56716 li=-3 spid=3cc0c6fffefe02100001
248.752778273	2	3c:c0:c6:fe:02:11	MSRP	
248.756896291	3	02:00:00:00:00:01	MAAP	
248.811737923	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56717 li=-3 spid=3cc0c6fffefe02100001
248.812473509	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56717 li=-3 spid=3cc0c6fffefe02100001
248.881582030	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Req	seq=1651 li=0 spid=3cc0c6fffefe02100001
