delay=55 rebase=['+132'] toggle=['+61'] interval=['642.0'] held=['224836'] pause=['763'] tally=[('48', '0')]
delay=56 rebase=['+132'] toggle=['+60'] interval=['642.0'] held=['224835'] pause=['764'] tally=[('48', '0')]
delay=57 rebase=['+132'] toggle=['+59'] interval=['642.0'] held=['224834'] pause=['765'] tally=[('48', '0')]
delay=58 rebase=['+132'] toggle=['+58'] interval=['642.0'] held=['224833'] pause=['766'] tally=[('48', '0')]
delay=59 rebase=['+132'] toggle=['+57'] interval=['642.0'] held=['224832'] pause=['767'] tally=[('48', '0')]
delay=60 rebase=['+132'] toggle=['+56'] interval=['642.0'] held=['224831'] pause=['768'] tally=[('48', '0')]
delay=61 rebase=['+132'] toggle=['+55'] interval=['642.0'] held=['224830'] pause=['769'] tally=[('48', '0')]
delay=62 rebase=['+132'] toggle=['+54'] interval=['642.0'] held=['224829'] pause=['770'] tally=[('48', '0')]
delay=63 rebase=['+132'] toggle=['+53'] interval=['642.0'] held=['224828'] pause=['771'] tally=[('48', '0')]
delay=64 rebase=['+132'] toggle=['+52'] interval=['642.0'] held=['224827'] pause=['772'] tally=[('48', '0')]
delay=65 rebase=['+132'] toggle=['+51'] interval=['642.0'] held=['224826'] pause=['773'] tally=[('48', '0')]
delay=66 rebase=['+132'] toggle=['+50'] interval=['642.0'] held=['224825'] pause=['774'] tally=[('48', '0')]
delay=67 rebase=['+132'] toggle=['+49'] interval=['642.0'] held=['224824'] pause=['775'] tally=[('48', '0')]
delay=68 rebase=['+132'] toggle=['+48'] interval=['642.0'] held=['224823'] pause=['776'] tally=[('48', '0')]
delay=69 rebase=['+132'] toggle=['+47'] interval=['642.0'] held=['224822'] pause=['777'] tally=[('48', '0')]
delay=70 rebase=['+132'] toggle=['+46'] interval=['642.0'] held=['224821'] pause=['778'] tally=[('48', '0')]
delay=71 rebase=['+132'] toggle=['+45'] interval=['642.0'] held=['224820'] pause=['779'] tally=[('48', '0')]
delay=72 rebase=['+132'] toggle=['+44'] interval=['642.0'] held=['224819'] pause=['780'] tally=[('48', '0')]
