delay=69 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=70 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=71 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=72 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=73 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=74 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=75 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=76 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=77 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=78 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=79 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=80 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=81 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=82 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=83 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=84 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=85 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=86 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=87 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=88 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=89 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=90 | checks: 48   failures: 0 | push=14..14 accept=10..10 | EXIT=0 | fails: none
delay=91 | checks: 48   failures: 0 | push=14..14 accept=10..10 | EXIT=0 | fails: none
delay=92 | checks: 48   failures: 0 | push=14..14 accept=10..10 | EXIT=0 | fails: none
delay=93 | checks: 48   failures: 0 | push=14..14 accept=10..10 | EXIT=0 | fails: none
delay=94 | checks: 48   failures: 0 | push=14..14 accept=10..10 | EXIT=0 | fails: none
delay=95 | checks: 48   failures: 0 | push=14..14 accept=9..10 | EXIT=0 | fails: none
delay=96 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=97 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=98 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=99 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=100 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=101 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=102 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=103 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=104 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=105 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=106 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=107 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=108 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=109 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=110 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=111 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=112 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=113 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=114 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=115 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=116 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=117 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=118 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=119 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=120 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=121 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=122 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=123 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
delay=124 | checks: 48   failures: 0 | push=14..14 accept=9..9 | EXIT=0 | fails: none
