scope	LUT	LUT_all_loads_outside_wrapper	LUT_any_load_outside_wrapper	LUT_any_input_from_outside_wrapper	LUT_outside_input_and_only_outside_loads
milan_datapath/pp_shadow/u_pp/u_aecp/u_dyn	8817	5922	5980	4649	3108
milan_datapath/pp_shadow/u_pp/u_aecp	17872	6187	6272	7181	3357
milan_datapath/pp_shadow/u_pp/u_srp	9110	74	123	933	67
milan_datapath/pp_shadow/u_pp/u_notify	3565	1	18	240	0
milan_datapath/pp_shadow	42962	6397	6574	9336	3499
