bdd-conformance	completed	success	2026-09-25T02:02:34Z
changes	completed	success	2026-09-25T02:02:43Z
docs-check	completed	success	2026-09-25T02:17:36Z
docs-check-no-git	completed	success	2026-09-25T02:02:35Z
elaborate	completed	success	2026-09-25T02:11:50Z
full-ci-gate	completed	success	2026-09-25T02:02:46Z
Physical gPTP (nightly and manual)	completed	skipped	2026-09-25T02:02:46Z
rtl-fast	completed	success	2026-09-25T02:12:57Z
verilator-lint	completed	success	2026-09-25T02:03:14Z
Verilator shard 0/5	completed	success	2026-09-25T02:15:03Z
Verilator shard 1/5	completed	success	2026-09-25T02:27:42Z
Verilator shard 2/5	completed	success	2026-09-25T02:12:45Z
Verilator shard 3/5	completed	success	2026-09-25T02:09:37Z
Verilator shard 4/5	completed	success	2026-09-25T02:32:52Z
verilator-suites	completed	success	2026-09-25T02:33:01Z
wire-accountability	completed	success	2026-09-25T02:02:34Z
yosys-elaboration	completed	success	2026-09-25T02:12:52Z
yosys-portability	completed	success	2026-09-25T02:33:12Z
Yosys shard 0/4	completed	success	2026-09-25T02:08:11Z
Yosys shard 1/4	completed	success	2026-09-25T02:05:58Z
Yosys shard 2/4	completed	success	2026-09-25T02:03:10Z
Yosys shard 3/4	completed	success	2026-09-25T02:03:17Z
