instance	sequential_cells	internal_WNS_ns
KL_pp_shadow	26904	-6.180
u_pp	26072	-6.180
u_pp/u_aecp	3453	-2.040
u_pp/u_srp	6746	0.138
u_pp/u_notify	3491	1.605
u_pp/u_listener	1104	-2.224
u_pp/u_talker	626	-1.773
u_nvm	470	4.668
