instance	sequential_cells	internal_WNS_ns
milan_datapath/pp_shadow	33141	-10.594
milan_datapath/pp_shadow/u_pp	31762	-10.594
milan_datapath/pp_shadow/u_pp/u_aecp	4613	-10.594
milan_datapath/pp_shadow/u_pp/u_srp	10754	-0.049
milan_datapath/pp_shadow/u_pp/u_notify	3991	1.319
milan_datapath/pp_shadow/u_pp/u_listener	1141	-1.865
milan_datapath/pp_shadow/u_pp/u_talker	475	-2.551
milan_datapath/pp_shadow/u_nvm	1025	3.907
