bdd-conformance	completed	success	2026-09-25T12:23:50Z	108069739004
changes	completed	success	2026-09-25T12:23:58Z	108069738794
docs-check	completed	success	2026-09-25T12:39:25Z	108069738674
docs-check-no-git	completed	success	2026-09-25T12:23:51Z	108069738516
elaborate	completed	success	2026-09-25T12:36:16Z	108069739039
full-ci-gate	completed	success	2026-09-25T12:24:07Z	108069738819
Physical gPTP (nightly and manual)	completed	skipped	2026-09-25T12:24:08Z	108069898124
rtl-fast	completed	success	2026-09-25T12:34:04Z	108072978983
verilator-lint	completed	success	2026-09-25T12:24:29Z	108069848107
Verilator shard 0/5	completed	success	2026-09-25T12:37:05Z	108069895785
Verilator shard 1/5	completed	success	2026-09-25T13:02:50Z	108069895840
Verilator shard 2/5	completed	success	2026-09-25T12:39:46Z	108069895894
Verilator shard 3/5	completed	success	2026-09-25T12:32:09Z	108069895807
Verilator shard 4/5	completed	success	2026-09-25T13:07:03Z	108069895727
verilator-suites	completed	success	2026-09-25T13:07:13Z	108083721060
wire-accountability	completed	success	2026-09-25T12:23:48Z	108069738599
yosys-elaboration	completed	success	2026-09-25T12:33:59Z	108069848006
yosys-portability	completed	success	2026-09-25T13:07:24Z	108083781505
Yosys shard 0/4	completed	success	2026-09-25T12:30:39Z	108069895749
Yosys shard 1/4	completed	success	2026-09-25T12:27:57Z	108069895788
Yosys shard 2/4	completed	success	2026-09-25T12:24:44Z	108069895713
Yosys shard 3/4	completed	success	2026-09-25T12:24:33Z	108069895819
