  FAIL [a closer carrying an info string does not close]: ['fenced line', 'fenced line', 'prose line', 'fenced line', 'fenced line', 'fenced line']
  FAIL [I440-F-invalid '```' U+000B]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+000C]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+000D]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+001C]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+001D]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+001E]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+001F]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+0085]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+00A0]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+1680]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2000]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2001]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2002]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2003]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2004]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2005]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2006]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2007]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2008]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2009]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+200A]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2028]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+2029]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+202F]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+205F]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+3000]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '```' U+0078]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+000B]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+000C]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+000D]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+001C]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+001D]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+001E]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+001F]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+0085]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+00A0]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+1680]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2000]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2001]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2002]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2003]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2004]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2005]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2006]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2007]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2008]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2009]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+200A]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2028]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+2029]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+202F]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+205F]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+3000]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [I440-F-invalid '~~~' U+0078]: ['fenced line', 'fenced line', 'prose line', 'prose line']
  FAIL [the walk carries the number of decision sites recorded here]
TOC selftest: FAIL (651/707 arm(s))

exit=1
