bdd-conformance	completed	success	2026-09-23T21:16:39Z	2026-09-23T21:16:49Z
changes	completed	success	2026-09-23T21:16:39Z	2026-09-23T21:16:54Z
docs-check	completed	success	2026-09-23T21:16:41Z	2026-09-23T21:29:43Z
docs-check-no-git	completed	success	2026-09-23T21:16:39Z	2026-09-23T21:16:49Z
elaborate	completed	success	2026-09-23T21:16:39Z	2026-09-23T21:23:23Z
full-ci-gate	completed	success	2026-09-23T21:17:15Z	2026-09-23T21:17:32Z
Physical gPTP (nightly and manual)	completed	skipped	2026-09-23T21:17:44Z	2026-09-23T21:17:43Z
rtl-fast	completed	success	2026-09-23T21:27:13Z	2026-09-23T21:27:17Z
verilator-lint	completed	success	2026-09-23T21:16:57Z	2026-09-23T21:17:29Z
Verilator shard 0/5	completed	success	2026-09-23T21:17:49Z	2026-09-23T21:27:41Z
Verilator shard 1/5	completed	success	2026-09-23T21:17:49Z	2026-09-23T21:40:46Z
Verilator shard 2/5	completed	success	2026-09-23T21:17:49Z	2026-09-23T21:23:40Z
Verilator shard 3/5	completed	success	2026-09-23T21:17:49Z	2026-09-23T21:25:19Z
Verilator shard 4/5	completed	success	2026-09-23T21:17:49Z	2026-09-23T21:52:38Z
verilator-suites	completed	success	2026-09-23T21:52:40Z	2026-09-23T21:52:47Z
wire-accountability	completed	success	2026-09-23T21:16:39Z	2026-09-23T21:16:49Z
yosys-elaboration	completed	success	2026-09-23T21:16:57Z	2026-09-23T21:27:09Z
yosys-portability	completed	success	2026-09-23T21:52:50Z	2026-09-23T21:52:59Z
Yosys shard 0/4	completed	success	2026-09-23T21:17:49Z	2026-09-23T21:22:20Z
Yosys shard 1/4	completed	success	2026-09-23T21:17:49Z	2026-09-23T21:18:16Z
Yosys shard 2/4	completed	success	2026-09-23T21:17:49Z	2026-09-23T21:18:15Z
Yosys shard 3/4	completed	success	2026-09-23T21:17:49Z	2026-09-23T21:18:24Z
