scope	LUT	LUT_all_loads_outside_wrapper	LUT_any_load_outside_wrapper	LUT_any_input_from_outside_wrapper	LUT_outside_input_and_only_outside_loads
milan_datapath/pp_shadow/u_pp/u_aecp/u_dyn	144	0	0	0	0
milan_datapath/pp_shadow/u_pp/u_aecp	5269	18	29	459	0
milan_datapath/pp_shadow/u_pp/u_srp	4947	96	120	241	96
milan_datapath/pp_shadow/u_pp/u_notify	3361	0	0	22	0
milan_datapath/pp_shadow	24983	173	209	1873	131
