clk 2000000 Hz, gain M 4295, envelope L 1677722 units (200.000 ppm)
r_ppm  jump_us  steps_after  pairs_to_|off|<1us      s  rail_pairs  overshoot_us
 -199     -100            0                 792   99.0         800           0.1
 -199      -90            0                 712   89.0         720           0.1
 -199      -50            0                 392   49.0         400           0.1
 -199      -25            0                 192   24.0         200           0.1
 -199       25            0                   1    0.1          51           6.3
 -199       50            0                   1    0.1         102          12.5
 -199       90            0                 256   32.0         263          32.5
 -199      100            0                   2    0.2         303          37.6
 -190     -100            0                  80   10.0          80           1.2
 -190      -90            0                  72    9.0          72           1.2
 -190      -50            0                  40    5.0          41           1.3
 -190      -25            0                  20    2.5          21           1.3
 -190       25            0                   1    0.1           4           6.3
 -190       50            0                  13    1.6          12          12.8
 -190       90            0                  29    3.6          29          32.8
 -190      100            0                  34    4.2          33          38.4
 -180     -100            0                  40    5.0          41           2.5
 -180      -90            0                  36    4.5          37           2.5
 -180      -50            0                  20    2.5          21           2.5
 -180      -25            0                  10    1.2          11           2.5
 -180       25            0                   1    0.1           0           6.2
 -180       50            0                   8    1.0           5          13.1
 -180       90            0                  17    2.1          15          33.1
 -180      100            0                  20    2.5          18          39.4
 -160     -100            0                   2    0.2           0           0.0
 -160      -90            0                  18    2.2          19           5.0
 -160      -50            0                  10    1.2          11           5.0
 -160      -25            0                   5    0.6           6           5.0
 -160       25            0                   1    0.1           0           6.2
 -160       50            0                   9    1.1           1          13.7
 -160       90            0                   2    0.2           9          33.7
 -160      100            0                  19    2.4          12          41.2
 -140     -100            0                  21    2.6          14           7.5
 -140      -90            0                  12    1.5          13           7.5
 -140      -50            0                  14    1.8           7           7.5
 -140      -25            0                  11    1.4           4           7.5
 -140       25            0                   1    0.1           0           6.2
 -140       50            0                   9    1.1           1          14.4
 -140       90            0                  11    1.4           5          35.6
 -140      100            0                  10    1.2           7          42.5
 -100     -100            0                   8    1.0           9          12.5
 -100      -90            0                  15    1.9           8          12.5
 -100      -50            0                   4    0.5           5          12.5
 -100      -25            0                   2    0.2           2           9.4
 -100       25            0                   1    0.1           0           6.2
 -100       50            0                  10    1.2           1          15.6
 -100       90            0                  12    1.5           3          37.5
 -100      100            0                  13    1.6           3          37.5
    0     -100            0                   4    0.5           5          25.0
    0      -90            0                  13    1.6           4          25.0
    0      -50            0                   2    0.2           2          18.8
    0      -25            0                   1    0.1           1           6.3
    0       25            0                   1    0.1           1           6.3
    0       50            0                   2    0.2           2          18.8
    0       90            0                  13    1.6           4          25.0
    0      100            0                   4    0.5           5          25.0
  100     -100            0                  13    1.6           3          37.5
  100      -90            0                  12    1.5           3          37.5
  100      -50            0                  10    1.2           1          15.6
  100      -25            0                   1    0.1           0           6.3
  100       25            0                   2    0.2           2           9.4
  100       50            0                   4    0.5           5          12.5
  100       90            0                  15    1.9           8          12.5
  100      100            0                   8    1.0           9          12.5
  140     -100            0                  10    1.2           7          42.5
  140      -90            0                  11    1.4           5          35.6
  140      -50            0                   9    1.1           1          14.4
  140      -25            0                   1    0.1           0           6.2
  140       25            0                  11    1.4           4           7.5
  140       50            0                  14    1.8           7           7.5
  140       90            0                  12    1.5          13           7.5
  140      100            0                  21    2.6          14           7.5
  160     -100            0                  19    2.4          12          41.2
  160      -90            0                   2    0.2           9          33.7
  160      -50            0                   9    1.1           1          13.7
  160      -25            0                   1    0.1           0           6.2
  160       25            0                   5    0.6           6           5.0
  160       50            0                  10    1.2          11           5.0
  160       90            0                  18    2.2          19           5.0
  160      100            0                  20    2.5          21           5.0
  180     -100            0                   2    0.2           0           0.0
  180      -90            0                  17    2.1          15          33.1
  180      -50            0                   8    1.0           6          13.1
  180      -25            0                   1    0.1           0           6.3
  180       25            0                  10    1.2          10           2.5
  180       50            0                  20    2.5          20           2.5
  180       90            0                  36    4.5          36           2.5
  180      100            0                  40    5.0          40           2.5
  190     -100            0                  34    4.2          33          38.4
  190      -90            0                  29    3.6          29          32.8
  190      -50            0                  13    1.6          12          12.8
  190      -25            0                   1    0.1           4           6.3
  190       25            0                  20    2.5          21           1.3
  190       50            0                  40    5.0          41           1.3
  190       90            0                  72    9.0          73           1.3
  190      100            0                  80   10.0          81           1.3
  199     -100            0                   2    0.2         303          37.6
  199      -90            0                 256   32.0         263          32.5
  199      -50            0                   1    0.1         102          12.5
  199      -25            0                   1    0.1          51           6.3
  199       25            0                 192   24.0         200           0.1
  199       50            0                 392   49.0         400           0.1
  199       90            0                 712   89.0         720           0.1
  199      100            0                 792   99.0         800           0.1

locked jumps inside 100 us that later step: 0
largest overshoot: r=140 ppm jump=-100 us -> 42.5 us
slowest settle: r=-199 ppm jump=-100 us -> 792 pairs (99.0 s)
