# sampled 2026-09-25T00:06:09Z head afdd28b701e7f5849317e27ce845c31d1c87f2a6
Physical gPTP (nightly and manual)	completed	skipped	2026-09-25T00:01:38Z
Yosys shard 1/4	completed	success	2026-09-25T00:02:08Z
Verilator shard 2/5	in_progress	-	-
Verilator shard 4/5	in_progress	-	-
Verilator shard 3/5	in_progress	-	-
Yosys shard 3/4	completed	success	2026-09-25T00:02:15Z
Verilator shard 0/5	in_progress	-	-
Verilator shard 1/5	in_progress	-	-
Yosys shard 0/4	completed	success	2026-09-25T00:02:11Z
Yosys shard 2/4	completed	success	2026-09-25T00:02:07Z
verilator-lint	completed	success	2026-09-25T00:02:01Z
yosys-elaboration	in_progress	-	-
changes	completed	success	2026-09-25T00:01:33Z
elaborate	in_progress	-	-
full-ci-gate	completed	success	2026-09-25T00:01:38Z
docs-check-no-git	completed	success	2026-09-25T00:01:26Z
bdd-conformance	completed	success	2026-09-25T00:01:29Z
wire-accountability	completed	success	2026-09-25T00:01:24Z
docs-check	in_progress	-	-
